filename, ellipse_center_x,  ellipse_center_y, ellipse_majoraxis, ellipse_minoraxis, ellipse_angle, elapsed_time
2018-02-15 17.28.24.815000.tiff,562.5778,868.9974,17.4025,13.0635,162.5974,558.0036
2018-02-15 17.33.14.590000.tiff,382.8706,475.1227,298.257,335.027,1.36,589.0132
2018-02-15 17.34.55.379000.tiff,491.5753,487.7599,291.9828,298.6343,1.588,569.772
2018-02-15 17.38.05.422000.tiff,371.6359,522.7816,28.8726,96.2561,3.0206,242.1025
2018-02-15 17.42.21.861000.tiff,588.8343,521.4186,259.2564,523.8994,1.4997,602.0537
2018-02-15 17.46.27.410000.tiff,90.9701,399.1199,33.4717,40.1548,145.9954,137.14
2018-02-15 17.49.44.087000.tiff,589.035,325.2359,212.446,208.1182,174.6659,366.3081
2018-02-15 17.50.39.802000.tiff, , , , , ,1160.6901
2018-02-15 17.54.24.527000.tiff, , , , , ,4067.9879
2018-02-15 17.55.41.631000.tiff,468.5046,789.7924,28.3803,41.4835,160.213,138.3539
2018-02-15 18.03.20.661000.tiff,447.4218,248.519,353.7349,254.4821,68.5769,525.5335
2018-02-15 18.03.44.884000.tiff,613.0018,333.5712,240.8947,348.6325,2.0563,517.6938
2018-02-15 18.06.17.336000.tiff, , , , , ,3215.9124
2018-02-15 18.18.18.942000.tiff,663.4688,579.6964,339.3648,164.6709,53.6717,452.7103
2018-02-15 18.33.33.176000.tiff,484.2836,484.1466,101.0505,196.0971,165.8321,265.161
2018-02-15 18.35.42.911000.tiff,-432255811.1387,-493870108.9456,330633425.4212,-102.5756,3.9934,200.6185
2018-02-15 18.42.28.237000.tiff,624.817,262.8673,164.5818,209.0387,149.3985,294.809
2018-02-15 18.43.09.176000.tiff,528.4114,278.8098,131.8558,202.9895,1.7046,274.3679
2018-02-15 18.50.35.215000.tiff,240.0708,282.014,95.0347,190.7796,143.5931,277.7224
2018-02-15 18.53.45.116000.tiff, , , , , ,245.1794
2018-02-15 18.56.36.696000.tiff, , , , , ,138.79
2018-02-15 19.04.48.515000.tiff, , , , , ,126.9528
2018-02-15 19.08.15.790000.tiff,442.9448,272.0686,44.9754,27.6475,77.8919,125.6472
2018-02-15 19.12.20.865000.tiff,459.4425,636.9974,-10.1103,-99.9226,84946.9847,197.8735
2018-02-15 19.22.13.141000.tiff,395.0626,685.7817,171.9483,169.2557,50.5797,296.5942
2018-02-15 19.25.00.778000.tiff,382.5582,654.8619,171.9302,196.897,158.3732,412.746
2018-02-15 19.40.36.459000.tiff, , , , , ,1674.576
2018-02-15 20.03.10.591000.tiff,516.9379,469.4476,189.5293,301.6696,2.0555,590.5869
2018-02-15 20.04.16.382000.tiff,248.0323,526.6329,41.4514,29.0605,3.0846,315.1648
2018-02-15 20.07.47.483000.tiff,274.1716,663.6972,101.3765,188.5697,1.6562,241.3149
2018-05-25 08.51.37.104000.tiff, , , , , ,482.1114
2018-05-25 09.08.13.569000.tiff,487.133,478.8364,189.1794,180.3349,3.0937,329.8009
2018-05-25 09.09.40.225000.tiff,482.6443,487.0425,176.301,187.0696,1.7422,244.8109
2018-05-25 09.18.30.484000.tiff,611.5781,346.5947,166.0435,146.869,104.496,221.2132
2018-05-25 09.23.14.747000.tiff,436.5442,648.3685,263.3881,349.7456,2.8042,530.7947
2018-05-25 09.30.24.687000.tiff,181.9903,813.9834,196.4613,63.2047,66.2726,148.3579
2018-05-25 09.41.32.834000.tiff, , , , , ,153.24
2018-05-25 09.54.07.326000.tiff, , , , , ,709.3784
2018-05-25 10.35.05.284000.tiff, , , , , ,1444.3967
2018-05-25 10.37.54.811000.tiff, , , , , ,375.3863
2018-06-05_090531.tiff, , , , , ,300.6902
2018-06-05_135049.tiff,493.5309,491.5417,95.4275,91.5562,2.3643,175.0261
2018-06-08 13.52.57.006000.tiff,9.0408,507.3661,23.2078,46.2574,174.331,125.367
2018-06-08 13.53.41.565000.tiff,1.0035,742.9941,37.268,8.2947,89.9046,123.4417
2018-06-08 14.02.49.945000.tiff, , , , , ,2424.024
2018-06-08 14.12.49.445000.tiff,460.9596,513.0071,180.89,167.5964,162.8012,255.9001
2018-06-08 14.52.30.444000.tiff,97.131,855.9161,15.1828,87.8833,2.2275,125.3776
2018-06-08 14.58.01.274000.tiff,932.5501,205.2226,111.5073,60.944,97.5973,137.9423
2018-06-08 15.02.07.152000.tiff,-46572517.0459,-15619190.1674,-13098420.7759,11.9953,161.4594,164.2665
2018-06-08 15.04.22.183000.tiff,495.3998,446.3036,240.6921,338.3121,1.1426,543.6468
2018-06-08 15.10.30.565000.tiff,829.2301,703.9296,113.4992,208.3315,163.8195,199.5005
2018-06-08 15.20.05.321000.tiff,907.2532,445.6606,5.9379,69.76,142.622,120.8375
2018-06-08 16.20.47.879000.tiff,720.5684,663.8345,80.288,216.8344,142.6353,181.6556
2018-07-24_104137.tiff, , , , , ,458.2377
2018-07-24_112252.tiff,745.5596,732.3331,79.4291,96.4714,2.0097,161.9168
2018-08-22_124408.tiff,684.375,727.9357,42.8608,17.4923,82.8724,126.5934
2018-08-30 11.48.34.102000.tiff,983.946,354.2941,71.778,107.8618,3.0473,151.8887
2018-09-21_125846.tiff, , , , , ,563.8236
2018-09-25_220641.tiff,475.3561,151.14,53.4062,103.6901,1.8131,135.5489
2018-10-03_110529.tiff, , , , , ,453.6376
2018-10-04_145143.tiff, , , , , ,285.1169
2018-10-12_152929.tiff,216.81,17.7096,82.7721,60.5293,2.5486,139.2559
2018-10-16_110627.tiff, , , , , ,469.4522
2018-10-22_094902.tiff, , , , , ,561.4026
2018-11-06_111536.tiff,501.4964,453.6475,133.2327,130.0022,168.1617,233.1784
,,,,,,
